dep,nb
10,454
20,261
30,253
40,204
50,241
60,1156
70,219
80,124
90,90
100,327
110,368
120,201
130,3413
140,439
150,99
160,174
170,579
180,191
190,189
201,261
202,318
210,239
220,441
230,61
240,198
250,347
260,315
270,424
280,203
290,730
300,472
310,914
320,142
330,1026
340,770
350,814
360,120
370,733
380,677
390,116
400,167
410,217
420,523
430,145
440,653
450,605
460,75
470,190
480,76
490,811
500,491
510,472
520,130
530,142
540,518
550,92
560,556
570,394
580,190
590,959
600,384
610,186
620,549
630,277
640,773
650,108
660,375
670,821
680,504
690,2435
700,103
710,473
720,406
730,279
740,615
750,5591
760,703
770,958
780,784
790,190
800,514
810,171
820,174
830,816
840,249
850,366
860,267
870,402
880,178
890,234
900,58
910,1457
920,2520
930,2735
940,2548
950,854
971,341
972,256
973,519
974,621
976,280
